,X,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP,LOCSUB,,SEX,MATURITY,MASS (KG)
122,Papio-hamadryas-MCZ-6015-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,13.4
123,Papio-hamadryas-MCZ-6077-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,13.4
124,Papio-hamadryas-MCZ-BOM-169-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,13.4
125,Pithecia-pithecia-USNM-300794-humerus,Pithecia pithecia,Pithecia,pithecia,quadruped,,arboreal,New World Monkey,arboreal quadruped,,,,1.76
126,Pongo-pygmaeus-AMNH-140426-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,,,35.6
127,Pongo-pygmaeus-AMNH-200898-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,35.6
128,Pongo-pygmaeus-AMNH-28252-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,77.9
129,Pongo-pygmaeus-AMNH-28253-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,77.9
130,Pongo-pygmaeus-AMNH-61586-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,77.9
131,Pongo-pygmaeus-PRICT-1284-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,67.8
132,Pongo-pygmaeus-PRICT-1342-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,35.6
133,Pongo-pygmaeus-PRICT-2747-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,77.9
134,Pongo-pygmaeus-PRICT-514-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,77.9
135,Presbytis-melalophos-AMNH-106599-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,6.59
136,Presbytis-melalophos-AMNH-106600-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,6.59
137,Presbytis-melalophos-AMNH-106606-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Female,,6.47
138,Saguinus-oedipus-AMNH-200467-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Female,,0.404
139,Saguinus-oedipus-USNM-501080-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Male,,0.418
140,Saguinus-oedipus-USNM-501082-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Female,,0.404
141,Saimiri-sciureus-AMNH-188089-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,0.662
142,Saimiri-sciureus-AMNH-188091-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,0.662
143,Saimiri-sciureus-USNM-397341-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,0.662
144,Saimiri-sciureus-USNM-398040-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,0.662
145,Semnopithecus-entellus-AMNH-150044-humerus,Seminopithecus entellus,Semnopithecus,entellus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,9.89
146,Semnopithecus-entellus-AMNH-90328-humerus,Seminopithecus entellus,Semnopithecus,entellus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,9.89
147,Symphanlangus-syndactylus-AMNH-106581-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,11.9
148,Symphanlangus-syndactylus-AMNH-106583-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,10.7
149,Trachypithecus-cristata-mcz-mamm-35603-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,5.896700815
150,Trachypithecus-cristata-mcz-mamm-35604-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,6.350293185
151,Trachypithecus-cristata-mcz-mamm-35610-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,5.443108445
152,Trachypithecus-cristata-mcz-mamm-35618-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,6.123497
153,Trachypithecus-cristata-mcz-mamm-35640-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,5.896700815
154,Trachypithecus-cristata-mcz-mamm-35678-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,5.66990463
155,Trachypithecus-cristata-mcz-mamm-35682-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,5.66990463
156,Trachypithecus-cristata-mcz-mamm-35683-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,6.123497
157,Trachypithecus-cristata-mcz-mamm-35696-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey,arboreal quadruped,,Female,,6.350293185
